Game,GameDate,PlayerID,GroupID,Level,Order,Track,Car,Body,Engine,Tire,Finished,FinishTime,TopSpeedReached,TimeTo30,TimeTo60,TimeTo100,CheckPoint1,CheckPoint2,CheckPoint3,TimeOnTrack,TimeOffTrack,Mass,Drag,Traction,FullTorqueOverAllWheel,TopSpeed,TireRadius
1351,8/27/2019 12:09,agt,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,28.3,49.42,6.63,-1,-1,10.77,15.03,18.76,27.5,0.8,1500,0.15,1,2500,150,0.4
1439,8/27/2019 12:14,agt,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,23.98,69.73,6.29,19.08,-1,10.77,15.03,18.76,22.4,1.58,1500,0.1,1,2500,150,0.4
1326,8/27/2019 12:07,bigstatsfan99,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,27.24,50.57,7.05,-1,-1,10.44,14.71,18.43,25.88,1.36,1500,0.15,1,2500,150,0.4
1419,8/27/2019 12:13,bigstatsfan99,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,22.35,65.92,6.93,17.13,-1,10.44,14.71,18.43,22.08,0.26,1500,0.1,1,2500,150,0.4
1453,8/29/2019 10:55,bigstatsfan99,geog391,CreateCar,3,OvalTrack,19,Gauss,Bayes,Bayes,1,25.19,56.76,7.72,-1,-1,10.44,14.71,18.43,24.14,1.04,1500,0.1,1,2150,150,0.4
1455,8/29/2019 10:58,bigstatsfan99,geog391,CreateCar,4,OvalTrack,25,Gauss,Gauss,Bayes,1,23.53,67.87,5.91,15.86,-1,10.44,14.71,18.43,21.49,2.03,1500,0.05,1,2500,150,0.4
1434,8/27/2019 12:14,cba,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,29.41,51.14,6.63,-1,-1,10.12,14.39,18.1,25.61,3.79,1500,0.15,1,2500,150,0.4
1465,8/29/2019 11:03,cba,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,24.43,62.76,6.94,19.58,-1,9.83,16.26,22.21,22.71,1.71,1500,0.1,1,2500,150,0.4
1478,8/29/2019 11:05,cba,geog391,CreateCar,3,OvalTrack,19,Gauss,Bayes,Bayes,1,28.45,51.82,7.66,-1,-1,9.83,16.26,22.21,25.29,3.16,1500,0.1,1,2150,150,0.4
1488,8/29/2019 11:06,cba,geog391,CreateCar,4,OvalTrack,25,Gauss,Gauss,Bayes,1,21.43,75.87,5.93,12.31,-1,9.83,16.26,22.21,19.91,1.51,1500,0.05,1,2500,150,0.4
1327,8/27/2019 12:07,del1234,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,39.36,46.6,11.22,-1,-1,11.52,21.22,30.9,31.52,7.83,1500,0.15,1,2500,150,0.4
1358,8/27/2019 12:09,del1234,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,31.89,52.83,6.4,-1,-1,11.52,21.22,30.9,29.56,2.32,1500,0.1,1,2500,150,0.4
1390,8/27/2019 12:11,del1234,geog391,CreateCar,3,OvalTrack,25,Gauss,Gauss,Bayes,1,33.91,63.93,5.97,20.18,-1,11.52,21.22,30.9,24.13,9.78,1500,0.05,1,2500,150,0.4
1413,8/27/2019 12:12,del1234,geog391,CreateCar,4,OvalTrack,19,Gauss,Bayes,Bayes,1,29.78,30.93,18.49,-1,-1,11.52,21.22,30.9,9.72,20.05,1500,0.1,1,2150,150,0.4
1501,8/29/2019 11:08,don't ask who joe is,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,24.81,51.71,6.63,-1,-1,10.77,15.04,18.75,24.35,0.45,1500,0.15,1,2500,150,0.4
1510,8/29/2019 11:10,don't ask who joe is,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,23.56,63.51,6.61,21.83,-1,10.77,15.04,18.75,22.83,0.73,1500,0.1,1,2500,150,0.4
1474,8/29/2019 11:05,dtx,geog391,Paired,1,OvalTrack,7,Bayes,Gauss,Bayes,1,21.63,65.93,7,14.58,-1,15.05,19.3,23.05,21.4,0.23,1500,0.1,1,2500,150,0.4
1491,8/29/2019 11:06,dtx,geog391,CreateCar,2,OvalTrack,19,Gauss,Bayes,Bayes,1,23.03,64.49,7.68,19.35,-1,15.05,19.3,23.05,23.03,0,1500,0.1,1,2150,150,0.4
1505,8/29/2019 11:08,dtx,geog391,CreateCar,3,OvalTrack,25,Gauss,Gauss,Bayes,1,18.43,94.11,5.91,10.81,-1,15.05,19.3,23.05,18.43,0,1500,0.05,1,2500,150,0.4
1516,8/29/2019 11:11,dtx,geog391,Paired,4,OvalTrack,1,Bayes,Bayes,Bayes,1,23.17,55.69,6.56,-1,-1,15.05,19.3,23.05,23.17,0,1500,0.15,1,2500,150,0.4
1346,8/27/2019 12:09,harold,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,33.68,47.02,7.55,-1,-1,10.78,15.04,18.76,27.11,6.57,1500,0.15,1,2500,150,0.4
1387,8/27/2019 12:11,harold,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,28.78,57.98,6.19,-1,-1,10.78,15.04,18.76,23.68,5.09,1500,0.1,1,2500,150,0.4
1469,8/29/2019 11:04,harold,geog391,CreateCar,3,OvalTrack,19,Gauss,Bayes,Bayes,1,31,56.78,7.93,-1,-1,11,16.89,27.77,24.16,6.84,1500,0.1,1,2150,150,0.4
1487,8/29/2019 11:06,harold,geog391,CreateCar,4,OvalTrack,25,Gauss,Gauss,Bayes,1,21.34,84.77,6.29,11.37,-1,11,16.89,27.77,19.53,1.8,1500,0.05,1,2500,150,0.4
1330,8/27/2019 12:08,hd,geog391,Paired,1,OvalTrack,1,Bayes,Bayes,Bayes,1,27.78,52.31,10.47,-1,-1,9.02,13.25,16.97,26.77,1.01,1500,0.15,1,2500,150,0.4
1388,8/27/2019 12:11,hd,geog391,Paired,2,OvalTrack,7,Bayes,Gauss,Bayes,1,28.07,57.09,6.98,-1,-1,9.02,13.25,16.97,25.29,2.77,1500,0.1,1,2500,150,0.4
